Input.Sample	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P.value	Pearson.Correlation	RMSE	Type	Input.Sample	Alt_ID	Cohort						
X15092.D708_D502	0.006478889	0.012703697	0	0.152649032	0	0.060656595	0	0.109201181	0.009266134	0.052465144	0	0.045624834	0.02073722	0.003758264	0.146477916	0.228483907	0.125169956	0	0.020893611	0	0	0.005433621	0	0.427365259	0.903555988	SJMC	SD0177_Rt	SD0177_Rt	MyBrCa						
X14956.D712_D503	0.104262765	0	0.02265487	0.08065094	0	0.152668628	0	0.045599861	0.029976226	0	0.034249995	0.003724558	0.005147281	0	0.087925626	0.394601273	0	0	0.02691592	0	0	0.011622058	0.007	0.262437327	0.978367108	SJMC	SD0181	SD0181	MyBrCa						
X15535.D703_D507	0	0.004321762	0	0.066656469	0	0.122151437	0	0.032987551	0.035102613	0	0	0.021715007	0.004096966	0	0.033991913	0.601833557	0.002748373	0	0.064403298	0.003534413	0	0.006456642	0	0.407918633	0.916622327	SJMC	SD0182	SD0182	MyBrCa						
X14957.D707_D501	0.023076119	0	0	0.15481409	0	0.100676716	0.012914723	0.096475947	0.032679143	0	0	0.111295007	0	0.024184479	0.0877347	0.329818238	0.013188699	0	0.008631605	0	0	0.004510534	0	0.396880005	0.919207477	SJMC	SD0195	SD0195	MyBrCa						
X15436.D709_D506	0.048528843	0.003652659	0	0.090520213	0	0.171361484	0	0.048132421	0.01879955	0	0	0.029236615	0.019811091	0	0.060986025	0.366761979	0.08945133	0	0.048190911	0.001667759	0	0.002899121	0	0.38725461	0.921886009	SJMC	SD0208	SD0208	MyBrCa						
X15092.D701_D507	0.025074384	0	0.014723043	0.275015737	0	0.073804192	0	0.069048294	0	0	0.014631606	0	0.009679499	0.025655353	0.051844197	0.315029968	0.017794902	0	0.107698826	0	0	0	0.015	0.23200937	0.991491929	SJMC	SD0214	SD0214	MyBrCa						
X15535.D708_D506	0.035731973	0	0.05609883	0.123620474	0	0.058981457	0.003469878	0.071474649	0.079859687	0.001533716	0	0.026179544	0	0.027627675	0.110470118	0.381855671	0	0.00192798	0.01345203	0	0	0.007716316	0.001	0.316980839	0.955699772	SJMC	SD0216	SD0216	MyBrCa						
X15535.D707_D508	0.054061655	0	0	0.072329868	0	0.088855374	0	0.023525664	0.054497952	0	0.01002988	0	0.049561367	0.17750199	0.061148668	0.300275317	0	0	0.108212266	0	0	0	0	0.361360336	0.935720354	SJMC	SD0218	SD0218	MyBrCa						
X14957.D701_D501	0.053901483	0.02684228	0	0.127906242	0	0.096707663	0	0.012304087	0.042991455	0	0	0.039994864	0.002939574	0.001507002	0.05944584	0.37845652	0.048739325	0	0.108263666	0	0	0	0	0.472138256	0.88260209	SJMC	SD0220	SD0220	MyBrCa						
X15535.D705_D508	0.03649203	0	0.015241091	0.011317629	0	0.053037811	0	0.063117804	0.012317575	0	4.00E-04	0.020167186	0	0.25911718	0.070859378	0.448027726	0	0	0.006953606	0.002995729	0	0	0	0.520111991	0.854499066	SJMC	SD0221	SD0221	MyBrCa						
X15436.D701_D502	0.014956405	0	0	0.018817032	0	0.141372827	0	0.011202758	0.008386971	0	0.021138396	0	0	0	0.085122157	0.403545627	0.028828871	0	0.251689006	0	0	0.014939951	0	0.389061795	0.923433977	SJMC	SD0224	SD0224	MyBrCa						
X15602.D705_D508	7.00E-04	0	0.046583014	0.221617767	0	0	0.060627643	0.07254559	0.001897466	0.070482279	0	0.041016315	0	0.044105374	0.061980578	0.362619378	0	0	0.007833513	0	0	0.007975985	0.001	0.281664555	0.972596981	SJMC	SD0225	SD0225	MyBrCa						
X14956.D703_D507	0.003350148	0.001100673	0.034137573	0.130414026	0	0.076890441	0	0.068875884	0.021148218	0	0	0.023304119	0.022941178	0	0.007127597	0.329182471	0	0	0.281527671	0	0	0	0.007	0.260669139	0.982170808	SJMC	SD0229	SD0229	MyBrCa						
X14956.D702_D503	0.023588173	4.00E-04	0	0.109915385	0	0.067291551	0	0.039115276	0.001949497	0	0	0.03355955	0.002706219	0	0.029739981	0.437440116	0.06679046	0	0.187466433	0	0	0	0	0.406678654	0.913765742	SJMC	SD0231	SD0231	MyBrCa						
X15602.D705_D506	0.008895446	0	0.006227101	0	0	0.284224622	0	0.042701216	0	0.100909566	0	0.012282538	0.010159008	0	0.114738894	0.210246476	0.059960389	0	0.149654745	0	0	0	0	0.421481758	0.905995331	SJMC	SD0237	SD0237	MyBrCa						
X14956.D709_D505	0.106262412	0.054278988	0	0.176372663	0	0.173406757	0	0.074097468	0.048802426	0.030760766	0	0.079534934	0.016248791	0.027280654	0.063791771	0.124742695	0.001449425	0	0.022970251	0	0	0	0	0.421283966	0.907404013	SJMC	SD0238	SD0238	MyBrCa						
X14957.D701_D504	0.063990825	0.006286056	0	0.099446615	0	0.238999652	0	0.050739295	0.031054499	0.029171692	0	0.042606524	0.022622451	0	0.07463942	0.258031314	0.027746045	0.008706945	0.041085951	0	0	0.004872714	0	0.449987462	0.89238998	SJMC	SD0241	SD0241	MyBrCa						
X15092.D707_D506	0.020981604	0	0.001298144	0.009178167	0	0.107924997	0	0.041357392	0.015565046	0.003652932	0	0.011497266	0	0.006305362	0.040052261	0.554358596	0.005910651	0	0.154318248	0	0	0.027599336	0	0.358244418	0.941385855	SJMC	SD0247	SD0247	MyBrCa						
X15535.D711_D508	0.018199942	0.001161578	0	0.097610702	0	0.088606121	0	0.0548152	0.030259256	0	0	0.057970117	0.040094371	0	0.10043175	0.293334946	0.050111856	0	0.167404162	0	0	0	0	0.442224519	0.89640222	SJMC	SD0248	SD0248	MyBrCa						
X14957.D710_D506	0.002092832	0.010593473	0	0.089735215	0	0.066567703	0	0.014930302	0.014367164	0	0	0	0.036557109	0	0.012929444	0.45633288	0.00618573	0	0.285623906	0	0	0.004084243	0	0.44530303	0.896077365	SJMC	SD0249	SD0249	MyBrCa						
X15535.D706_D508	0	0.005798142	0.019203212	0.108381971	0	0.028992659	0	0.057222251	0.030298341	0.004739923	0	0.03067865	0	0.083741884	0.026020788	0.49196377	0.06235127	0	0.033188576	0.004084331	0	0.013334231	0	0.389185158	0.925303178	SJMC	SD0259	SD0259	MyBrCa						
X15535.D709_D504	0	0.003279982	0.026942949	0.075866227	0	0.119150444	0	0.04145538	0.019666434	0	0	0.043665298	0.007762881	0.05501489	0.09618181	0.432274417	0	0	0.058363718	0	0	0.020375572	0	0.363172659	0.935332534	SJMC	SD0260	SD0260	MyBrCa						
X15602.D712_D501	0.044933408	0	0.001079672	0.067212159	0	0.190232805	0.004749416	0.052033434	0	0	0	0.059446119	0.016542329	0	0.186292733	0.278949604	0.03009937	0	0.068428952	0	0	0	0	0.48649574	0.873006911	SJMC	SD0261	SD0261	MyBrCa						
X15436.D712_D502	0.033821895	0	0.00250612	0.126058914	0	0.146059382	0	0.067557104	0.005578032	0.018384158	0	0.050734608	0	0	0.131754852	0.327558569	0.002553662	0	0.084563264	0	0	0.002869442	0	0.33637748	0.947134932	SJMC	SD0263	SD0263	MyBrCa						
X15436.D704_D501	0.017106047	0	0	0.026024058	0	0.144254945	0	0.035132791	0.010543989	0	0	0.02277706	0.008503342	0.103471657	0.091012709	0.432793794	0.012425679	0	0.095653037	0	0	3.00E-04	0.001	0.321408968	0.958371601	SJMC	SD0269	SD0269	MyBrCa						
X15535.D709_D505	0	0.006290336	0	0.07201716	0	0.078041019	0	0.010761955	0.039350339	0	0	0.069504625	0.0238021	0	0.015878822	0.557732743	0.016710174	0	0.105612707	0	0	0.004298019	0.001	0.28966787	0.9751463	SJMC	SD0270	SD0270	MyBrCa						
X14957.D712_D501	0.019909624	0	0.014034737	0.099831156	0	0.160819974	0.041837281	0.021910176	0.050846777	0.030293652	0	0.007414959	0.028407751	0.007342811	0.092818658	0.351669091	0.011610257	0	0.05580268	0	0	0.005450415	0.062	0.155170385	1.022738641	SJMC	SD0271	SD0271	MyBrCa						
X14956.D705_D504	0.006985793	0.008975045	0	0.114654246	0	0.241397235	0	0.042757438	0.007251109	0	0	0.01672945	0.031573534	0	0.087200562	0.372451891	0.018065319	0	0.051958377	0	0	0	0	0.349261698	0.940984817	SJMC	SD0272	SD0272	MyBrCa						
X15092.D704_D507	0.012152059	0	7.00E-04	0.028451476	0	0.04694012	0	0.027340188	0.009920999	0	0	0.027787893	0	0.1731276	0.062310887	0.521051132	0	0	0.020596908	0.065870237	0	0.003784518	0	0.592663312	0.805972649	SJMC	SD0276	SD0276	MyBrCa						
X15602.D708_D507	0.035363117	0.068732826	0	0.033086482	0	0.271059288	0	0.061070823	0	0	0	0.029884061	0.004757324	0	0.195563506	0.274264747	0.018949298	0	0	7.00E-04	0.006531728	0	0	0.484346633	0.874064059	SJMC	SD0278	SD0278	MyBrCa						
X15436.D709_D507	0.024128894	0.035797252	0	0.056498775	0	0.132895068	0	0.039113163	0.009005128	0.017985017	0	0.018016707	0	0.145627144	0.057243869	0.306171479	0.089180181	0	0	0.058614816	0	0.009722506	0.432	0.041362374	1.078680073	SJMC	SD0281	SD0281	MyBrCa						
X14956.D705_D507	0	0	0.005646356	0.052004765	0	0.125354664	0	0.032129248	0.010670735	0	0.02361649	0.038267519	0.03296621	0	0.03845473	0.462146785	0.027243677	0	0.15149882	0	0	0	0.008	0.250670378	0.986685467	SJMC	SD0283	SD0283	MyBrCa						
X14957.D704_D508	0.046410404	0	0.01630755	0.136100743	0	0.034573626	0	0.137313637	0.040111025	0.007594673	0	0.172632476	0	0.071056176	0.079636484	0.209836936	0.014331714	0	0.034094555	0	0	0	0	0.37220592	0.931784734	SJMC	SD0284	SD0284	MyBrCa						
X14957.D708_D502	0	0.019234214	0.001	0.174821845	0	0	0	0.036770552	0.074790537	0.018326075	0	0.086408882	0.0124153	0.007280103	0.052477608	0.505162966	0	0	0.007542346	0	0	0.003779581	0	0.407926362	0.915037874	SJMC	SD0287	SD0287	MyBrCa						
X15535.D702_D502	0.010728576	0.005372478	0.014718574	0.166096117	0	0	0	0.050364493	0.070781228	0	0	0.087950009	0.059319108	0	0.021766101	0.45906171	0	0	0.053841604	0	0	0	0	0.348308604	0.942117515	SJMC	SD0289	SD0289	MyBrCa						
X15436.D708_D505	0.035191927	0	0.001779771	0.130521737	0	0.086577233	0	0.05228696	0.005871368	0.002591177	0	0.038764923	0.028737051	0	0.081378465	0.355042883	0.044016746	0	0.130425724	0	0	0.006814036	0.001	0.313597196	0.954332378	SJMC	SD0297	SD0297	MyBrCa						
X14957.D704_D504	0.022094827	0	0	0.082819845	0	0.049993288	0	0.053289879	0	0	0	0.036514758	0	0.170466047	0.032066248	0.401453987	0	0	0.146406445	0	0	0.004894677	0	0.448408517	0.893899933	SJMC	SD0299	SD0299	MyBrCa						
X15092.D710_D507	0.040966176	0	0	0.088394334	0	0.054698279	0	0.13183273	0.056618703	0.018059346	0	0.064821835	0.004965431	0.157851372	0.047755047	0.250052464	0.003858876	0	0.080125408	0	0	0	0	0.364573246	0.932907102	SJMC	SD0303	SD0303	MyBrCa						
X14957.D705_D506	0	0.01454825	0.012308086	0.096339735	0	0.086191563	0	0.086984357	0.119495082	0	0	0.096989965	0.013657264	0.082133163	0.04416963	0.323152887	0.002625542	0	0.021404477	0	0	0	0	0.386851226	0.923360452	SJMC	SD0307	SD0307	MyBrCa						
X15535.D711_D502	0.029651711	0.006506217	0	0.139031689	0	0.132316094	0	0.035092897	0.060611059	0	0	0.08127685	0.026339215	0.019566644	0.089170155	0.286332185	0.009401675	0	0.084703609	0	0	0	0.001	0.292591333	0.964932966	SJMC	SD0311	SD0311	MyBrCa						
X15092.D707_D507	0.027508979	0	0	0.183840945	0	0.115346986	0.008208916	0.104376828	0.026702505	0	0	0.055982171	0	0.044332231	0.106988027	0.279634273	0.010057751	0	0.03702039	0	0	0	0	0.499194977	0.86696242	SJMC	SD0315	SD0315	MyBrCa						
X15535.D701_D508	0.00380448	0	0.011589761	0.057833831	0	0.01310664	0	0.062661854	0.058482582	0	0	0.038261938	0	0.24485831	0.082215526	0.4060847	0	0	0.021100379	0	0	0	0	0.498509728	0.866885129	SJMC	SD0316	SD0316	MyBrCa						
X15092.D711_D501	0.046986759	0.046174453	0	0.173962393	0	0	0.039358787	0.053982793	0.164165278	0	0	0.087714518	0.038909624	0.112706901	0.029234739	0.185710513	0	0	0	0.02109324	0	0	0.007	0.262716188	0.979977171	SJMC	SD0325	SD0325	MyBrCa						
X14956.D703_D503	0.044388344	0	0.020189722	0.113361975	0	0.167019596	0	0.037269771	0.016497369	0	0	0.092228867	9.00E-04	0.176887603	0.009289739	0.296698848	0	0	0.02526591	0	0	0	0.232	0.079094031	1.068202093	SJMC	SD0326	SD0326	MyBrCa						
X15436.D711_D503	0.005832811	0	0	0.110622579	0	0.110877574	0	0.056125434	0.035517117	0.025594848	0	0.01327729	0	0.003889663	0.034148912	0.538430103	0.005733058	0	0.052781222	0	0	0.007169389	0	0.48176525	0.875727492	SJMC	SD0328	SD0328	MyBrCa						
X14957.D712_D506	0.061288582	0	0.00421768	0.124893062	0	0.116631894	0	0.0949861	0.007143346	0	0	0.063118871	0.030651586	0.079600269	0.136493728	0.187547291	0.013427726	0	0.079999865	0	0	0	0	0.487697093	0.873797478	SJMC	SD0329	SD0329	MyBrCa						
X14957.D708_D507	0.01199581	0	0.00505457	0.192877816	0	0	0	0.164286021	0.03381605	0	0	0.135223962	0.022516894	0	0.100810916	0.217053216	0.005999987	0	0.11025377	0	1.00E-04	0	0.015	0.234477784	0.996096166	SJMC	SD0330	SD0330	MyBrCa						
X15436.D709_D508	0.053514299	0	0	0.013191897	0	0.075264058	0	0.035318781	0.003809898	0.005815673	0	0.020695002	0	0.22036607	0.018498636	0.442369847	0.057574531	0	0.053581307	0	0	0	0	0.465952327	0.887111581	SJMC	SD0337	SD0337	MyBrCa						
X15535.D707_D505	0.034502646	0.005339134	0	0.065494151	0	0.167278834	0	0.04976219	0.032075945	0	0	0.04700057	0.009854188	0	0.097092007	0.411248649	0.030899991	0	0.03549805	0	0	0.013953644	0.001	0.296802864	0.965244106	SJMC	SD0339	SD0339	MyBrCa						
X15436.D709_D504	0.026574899	0	3.00E-04	0.082435799	0	0	0	0.046286711	0.023834308	0.032028811	0	0.017876903	0	0.225524811	0.06060394	0.46791508	0	0	0.01665362	0	0	0	0	0.478582439	0.879913713	SJMC	SD0342	SD0342	MyBrCa						
X15436.D702_D506	0.00148414	0	0	0.053903525	0	0.041446511	0	0.030788133	0	0.065261928	0	0.015345898	0.0267793	0.027312267	0.02294769	0.641126284	0	0	0.071807487	0	0	0.001796837	0	0.333357404	0.962259926	SJMC	SD0350	SD0350	MyBrCa						
X15535.D707_D504	0	0.002833224	0.04779986	0.137631677	0	0.04159953	0	0.096327163	0.004165194	0	0	0.064496779	0.005357354	0.05873322	0.04752763	0.479457298	0	0	0.014071072	0	0	0	0.017	0.221011511	1.004640549	SJMC	SD0354	SD0354	MyBrCa						
X14957.D708_D503	0.046821986	0	0.027734985	0.164843168	0	0.093323572	0.043634493	0.078774841	0.002044914	0	0	0.083171424	0.01728491	0	0.11584505	0.247080905	0.040850836	0	0.033775972	0	0	0.004812944	0	0.330400394	0.947914368	SJMC	SD0356	SD0356	MyBrCa						
X14957.D702_D501	0.078111909	0	0.01798441	0.070196052	0	0.134302644	0	0.048644091	0.015543743	0	0	0.020841049	0	0	0.05416506	0.418590078	0.014336163	0	0.118712156	0	0	0.008572645	0	0.339769898	0.943068602	SJMC	SD0357	SD0357	MyBrCa						
X14956.D706_D505	0.005644587	0.001438794	0	0.144317402	0	0.097861853	0	0.035278746	0.03630952	0	0	0.027168314	0.043166564	0.020303349	0.065201699	0.314244345	0.011719052	0	0.197345774	0	0	0	0	0.431362797	0.901481894	SJMC	SD0358	SD0358	MyBrCa						
X15535.D706_D505	0.005019198	0.001510512	0.004301516	0.112888601	0	0	0	0.128929063	0.065928634	0	0	0.11150962	0	0.134184641	0	0.380611886	0	0.028287428	0.026828899	0	0	0	0	0.368376206	0.934961828	SJMC	SD0361	SD0361	MyBrCa						
X14956.D710_D502	0	0	0.013850798	0.065180611	0	0	0	0.065012398	0.022121668	0	0	0.01325156	0	0.345614928	0.042703628	0.402163401	0	0	0.026099116	0	0	0.004001892	0	0.384246339	0.946121589	SJMC	SD0368	SD0368	MyBrCa						
X14956.D701_D508	0.001267351	0	0.008390665	0	0	0	0	0.087928902	0.014709657	0.013322034	0.027434205	0	0	0.619551224	0.026020778	0.154850108	0	0	0.046525076	0	0	0	0	0.668141885	0.745144604	SJMC	SD0372	SD0372	MyBrCa						
X14956.D701_D507	0.024509438	0.007292432	0	0.097078535	0	0	0	0.160741236	0.11694676	0.011524007	0	0.085046513	0	0.141598462	0.05972281	0.284859746	0	0	0.002300047	0.008380016	0	0	0	0.403574185	0.91584638	SJMC	SD0373	SD0373	MyBrCa						
X15092.D708_D506	0.017995339	0.003841388	0.013043092	0.121806067	0	0.07355854	0.014542602	0.092215641	0.019589273	0	0	0.090299254	0	0.073210098	0.09184566	0.307834719	0.009444932	0	0.070773395	0	0	0	0.008	0.253278259	0.982869363	SJMC	SD0375	SD0375	MyBrCa						
X14957.D703_D502	0.006711752	0	0.011784093	0.018339189	0.015014759	0	0	0.102391632	0.039201038	0.04012608	0	0	0	0.24837783	0	0.480677887	0	0	0	0.03737574	0	0	0	0.439389735	0.906706147	SJMC	SD0376	SD0376	MyBrCa						
X15535.D703_D502	0.083765192	0	0.004313489	0.108815534	0	0.076702641	0.003644146	0.131617963	0.046172413	0.004516771	0	0.095535525	0.017982448	0.00781416	0.027623092	0.251913086	0.076272488	0	0.063311052	0	0	0	0	0.371900191	0.928292044	SJMC	SD0377	SD0377	MyBrCa						
X15436.D702_D501	0.009425908	0	0.027177038	0.047269023	0	0.065844774	0	0.023280346	0	0	0	0.010518422	0	0.200889531	0.04565815	0.54367112	0	0	0	0.02608363	0	2.00E-04	0	0.422825928	0.91745188	SJMC	SD0388	SD0388	MyBrCa						
X14957.D708_D508	0.005556999	0.009942307	0.010620689	0.245305061	0	0.100948422	0	0.086608855	0.022390781	0	0	0.048128469	0.004625491	0.008725617	0.106881123	0.329444101	0	0	0.012955341	0	0	0.007866745	0	0.417543762	0.909068724	SJMC	SD0391	SD0391	MyBrCa						
X15602.D701_D506	0.056162844	0	0.002846948	0.218998571	0	0.056879816	8.00E-04	0.103790045	0.014803654	0.008552792	0	0.051737797	0.020488181	0.039388273	0.155218763	0.253118078	0.001857478	0	0.011481538	0	0	0.003870497	0	0.336838324	0.950408903	SJMC	SD0403	SD0403	MyBrCa						
X15092.D706_D508	0.038264487	0.024246283	0	0.147340702	0	0.042040417	0	0.100999663	0.044712126	0	0	0.030594837	0	0.017100085	0.041329795	0.343353658	8.00E-04	0	0.169242829	0	0	0	0	0.402780051	0.914659408	SJMC	SD0404	SD0404	MyBrCa						
X14956.D701_D504	0.027962662	0.008797402	0.022045632	0.303582262	0	0.06028184	0	0.121228897	0.054641622	0.014088658	0	0.064236509	0.027831579	0.039140985	0.040982744	0.190964579	0	0	0.024214629	0	0	0	0.001	0.318930133	0.95962841	SJMC	SD0418	SD0418	MyBrCa						
X14957.D704_D506	0.009304719	0	0	0.034888054	0	0.038408653	0.001200268	0.054899789	0.001607287	0.026197649	0	0	0.003096357	0.075617448	0.019900534	0.525882473	0.041285056	0	0.166187079	0	0	0.001478334	0	0.52939528	0.848622711	SJMC	SD0419	SD0419	MyBrCa						
X15436.D710_D508	0.00160987	0.024413255	0.004383386	0.055079198	0	0.107495887	0	0.067046607	0.0091268	0.007960498	0	0.0206984	0	0.021663568	0.046556054	0.468235114	0.081414419	0	0.078247456	0	0	0.006069489	0.071	0.150649616	1.032395346	SJMC	SD0422	SD0422	MyBrCa						
X14956.D707_D504	0.021382239	0	0	0.068007181	0	0.034181565	0	0.058252268	0.023741538	0	0.09922321	0	0	0.262279172	0.019808725	0.35327789	0.005071459	0	0.054774753	0	0	0	0.078	0.143862035	1.054849527	SJMC	SD0423	SD0423	MyBrCa						
X14956.D711_D504	0.003561014	0.002516615	3.00E-04	0.075254688	0	0.079040143	0	0.025160706	0.023785647	0	0	0.034267956	0	0.152289161	0.059005515	0.458234991	0	0	0.085479593	0	0	0.001095485	0	0.391772674	0.925327428	SJMC	SD0427	SD0427	MyBrCa						
X14957.D703_D501	0.021391841	0.009050182	0.001418529	0.101305466	0	0.077324491	0	0.064134578	0.058019455	0	0	0.030991969	0.030167194	0.097299924	0.035356486	0.301579468	0	0	0.171960418	0	0	0	0	0.430572572	0.902002008	SJMC	SD0433	SD0433	MyBrCa						
X14957.D705_D505	0.007741118	0	0.011371622	0.093496673	0	0	0	0.095884147	0.017539063	0.023145596	0.012227146	0	0	0.137150814	3.00E-04	0.556943814	0	0.004072423	0.040122012	0	0	0	0.104	0.128734871	1.068761642	SJMC	SD0436	SD0436	MyBrCa						
X15602.D707_D504	0.015992326	0	0.007541872	0.118794223	0	0.141098171	0	0.036486178	0.026900243	0.01483774	0	0.036860977	0	0.052266084	0.119921321	0.326794512	4.00E-04	0	0.090219256	0	0	0.011891834	0.015	0.233497373	0.993479766	SJMC	SD0439	SD0439	MyBrCa						
X15602.D711_D508	0	0.028993758	0.014020337	0.041546935	0	0.060418683	0	0.06490631	0	0.028782679	0	0.01527506	0	0.052925262	0.183465585	0.382448113	0.056616401	0	0.0595273	0.011073577	0	0	0	0.37619819	0.933280924	SJMC	SD0442	SD0442	MyBrCa						
X15602.D706_D507	0.043217768	0	0.004512429	0.189973069	0	0.085997164	0.018369677	0.063291301	0	0.051392615	0	0.016077729	0	0.067775913	0.110791528	0.303366799	0.005254117	0	0.032715422	0	0	0.007264469	0	0.355664685	0.93823166	SJMC	SD0449	SD0449	MyBrCa						
X15602.D709_D506	0.021110599	0	0	0.036246684	0	0.126961588	0.002392591	0.026338118	0	0.005833246	0	0.009619483	0	0.0385865	0.076148879	0.581905159	0	0	0.064548344	0	0	0.01030881	0	0.45401011	0.891936805	SJMC	SD0450	SD0450	MyBrCa						
X15092.D702_D506	0.030600045	0.009743271	0	0.085855325	0	0.14084389	0	0.01540326	0.021684823	0	0	0.020793586	0.034807517	0	0.056178574	0.396809205	0.008971406	0	0.178309099	0	0	0	0	0.473956558	0.881153278	SJMC	SD0454	SD0454	MyBrCa						
X15535.D708_D508	0.031534955	0	0.022569822	0.101058073	0	0	0	0.049585023	0.050539439	0.008279844	0	0.058709054	0	0.059015645	0.009988812	0.560729493	0.01349009	0	0.034499749	0	0	0	0.003	0.273236616	0.986130652	SJMC	SD0457	SD0457	MyBrCa						
X14957.D711_D507	0.014433888	0	6.00E-04	0.048181945	0	0.070553321	0	0.043476689	0.015113537	0	0.028991827	0.006874685	0.011473959	0.080484726	0.044644858	0.500779538	0	0	0.13435686	0	0	0	0	0.323738669	0.958428044	SJMC	SD0459	SD0459	MyBrCa						
X15602.D701_D505	0.06531314	0	0.044019602	0.070640024	0	0.156022469	0	0.100557748	0.003550451	0	0	0.045064521	0.001859842	0.042565009	0.111113873	0.293440592	0.026905056	0	0.038947674	0	0	0	0	0.364219796	0.932196565	SJMC	SD0462	SD0462	MyBrCa						
X15092.D703_D507	0	0	0.001594561	0.089768422	0	0.031344907	0	0.116646003	0	0	0	0.044409299	0.030738421	0	0.033178147	0.525951363	0.018630248	0	0.107738628	0	0	0	0.023	0.207820779	1.010498701	SJMC	SD0464	SD0464	MyBrCa						
X14957.D708_D504	0.005632338	0.011064646	0	0.081304591	0	0.032111993	0	0.031654725	0	0	0	0.022506079	0.067261389	0	0.032096352	0.408948113	0.085120977	0	0.222298796	0	0	0	0	0.489641381	0.872286012	SJMC	SD0477	SD0477	MyBrCa						
X14956.D704_D504	0.019584448	0.006849113	0	0.169555951	0	0.144282959	0	0.050272223	0.061869358	0.0433317	0	0.076865575	0	0.030581291	0.0684955	0.258444002	0.016190629	0	0.047592515	0	0	0.006084737	0	0.494460783	0.86932318	SJMC	SD0480	SD0480	MyBrCa						
X15436.D705_D507	0.049605743	0.084993753	0	0.072064528	0	0.111360271	0	0.041520438	0.006687985	0.055236637	0	0.017853705	0.003937999	0	0.087761663	0.245979545	0.009363223	0	0.21363451	0	0	0	0	0.419294475	0.907029978	SJMC	SD0482	SD0482	MyBrCa						
X15436.D708_D507	0.051228687	0.19500104	0	0.09920129	0	0.050123946	0	0.073005283	0.018185208	0	0	0.03250606	0	0.13818551	0.069220447	0.252539928	0	0	0.010510981	0.01029162	0	0	0	0.490841449	0.872313499	SJMC	SD0483	SD0483	MyBrCa						
X14957.D710_D503	0.050354479	0.024963211	0	0.163274112	0	0.097164253	0	0.105272319	0.069840548	0	0	0.1156099	0.007633159	0	0.108184199	0.215318243	0.029553245	0	0.009899012	0.001105586	0	0.001827733	0	0.413320385	0.911196011	SJMC	SD0487	SD0487	MyBrCa						
X15535.D710_D503	0	0.065447674	0	0.12372765	0	0.034705796	0	0.086772494	0.109253654	0	0	0.109275557	0.012374284	0.068029674	0.060744683	0.266200101	0.007872684	0	0.055595749	0	0	0	0.001	0.316628695	0.954479598	SJMC	SD0492	SD0492	MyBrCa						
X15602.D704_D508	0.022887972	0.009820155	0.008952712	0.132579832	0	0.138618615	0.01199263	0.04514137	0.008503982	0	0	0.051101121	0.020953371	0.022349077	0.101318626	0.288813937	0.034575397	0	0.102391203	0	0	0	0	0.342474444	0.941577586	SJMC	SD0498	SD0498	MyBrCa						
X15092.D707_D503	0.00549154	0.006894304	0	0.088816231	0	0.102115391	0	0.051146887	0.003972559	0	0	0.011550867	0.02960771	0	0.051377286	0.458048211	0.022339811	0	0.168639204	0	0	0	0.161	0.101881255	1.052271061	SJMC	SD0499	SD0499	MyBrCa						
X14956.D710_D503	0.01251526	0.008787698	0	0.074141071	0	0.104530747	0	0.078362444	0	0	0	0.074908567	0.027843483	0	0.122216813	0.285288148	0.026563652	0	0.184842117	0	0	0	0	0.45964996	0.887687583	SJMC	SD0503	SD0503	MyBrCa						
X15436.D701_D504	0.013463205	0	0.023848218	0.075610084	0	0.145892803	0	0.026352319	0.003397613	0	0.002723409	0	0.003008339	0.0463462	0.049743092	0.494200467	0.051578561	0	0.063835689	0	0	0	0	0.343961802	0.946551282	SJMC	SD0504	SD0504	MyBrCa						
X14957.D709_D503	0.033197824	0	0	0.038520813	0	0.040112576	0	0.05801266	0.010771398	0	0	0.014089459	0	0.205740816	0.057487221	0.506643719	0	0	0.024270299	0.011153213	0	0	0	0.481563918	0.878736701	SJMC	SD0506	SD0506	MyBrCa						
X14956.D704_D503	0.017526398	0	0.036206103	0.102122882	0	0	0	0.036218934	0.011423108	0	0.003602648	0.073718055	0	0.126638638	0.093693993	0.391053362	0	0	0.10779588	0	0	0	0	0.337494783	0.948841825	SJMC	SD0507	SD0507	MyBrCa						
X14957.D705_D501	0.040280655	0	0	0.209273959	0	0.139082233	0.008169918	0.046815406	0.009259386	0.029285438	0	0.068917229	0.01208539	0	0.082298544	0.215546843	0.008249931	0	0.130735067	0	0	0	0	0.407127545	0.913149497	SJMC	SD0512	SD0512	MyBrCa						
X15602.D703_D508	0.025970991	0	0.011749525	0.132247367	0	0.158985277	0	0.059227962	0.009998493	0	0	0.016760708	0.022237951	0.015554001	0.130088448	0.352052739	0.016325956	0	0.048800582	0	0	0	0	0.34921689	0.941383488	SJMC	SD0516	SD0516	MyBrCa						
